,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
491,370,Georges Niang,PF,30,CLE,74,10,22.6,3.6,7.8,.456,1.9,4.9,.385,1.7,2.9,.574,.576,0.6,0.8,.857,0.3,3.2,3.5,1.2,0.3,0.2,0.9,2.4,9.6,2024
492,371,Daishen Nix,PG,21,MIN,12,0,3.3,0.7,1.7,.400,0.4,1.2,.357,0.3,0.5,.500,.525,0.1,0.3,.250,0.0,0.1,0.1,0.2,0.3,0.0,0.2,0.1,1.8,2024
493,372,Zeke Nnaji,PF,23,DEN,53,0,9.8,1.2,2.6,.449,0.1,0.4,.238,1.1,2.2,.487,.467,0.8,1.1,.712,1.1,1.0,2.1,0.6,0.2,0.7,0.5,1.4,3.2,2024
494,373,Jaylen Nowell,SG,24,MEM,9,1,17.3,2.4,6.1,.400,0.4,2.6,.174,2.0,3.6,.563,.436,0.3,0.3,1.000,0.3,1.2,1.6,1.8,0.3,0.0,0.6,1.4,5.7,2024
495,374,Markquis Nowell,SG,24,TOR,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2024
496,375,Frank Ntilikina,PG,25,CHO,5,0,8.6,0.2,1.8,.111,0.2,1.6,.125,0.0,0.2,.000,.167,0.4,0.4,1.000,0.2,1.0,1.2,0.8,0.0,0.0,0.2,0.8,1.0,2024
497,376,Jusuf Nurkić,C,29,PHO,69,69,27.1,4.4,8.5,.515,0.3,1.3,.241,4.1,7.2,.563,.533,2.2,3.4,.631,2.9,7.9,10.9,3.7,1.0,1.0,2.3,3.3,11.2,2024
498,377,Jordan Nwora,SF,25,TOT,44,1,12.6,2.5,5.4,.458,0.8,2.4,.317,1.7,3.0,.568,.528,0.8,1.0,.857,0.4,2.0,2.4,1.1,0.5,0.2,0.9,1.0,6.5,2024
499,377,Jordan Nwora,SF,25,IND,18,0,10.2,2.1,4.6,.451,0.6,2.0,.306,1.4,2.6,.565,.518,0.5,0.6,.818,0.4,1.4,1.8,1.0,0.3,0.1,0.7,1.1,5.2,2024
500,377,Jordan Nwora,SF,25,TOR,26,1,14.2,2.7,5.9,.461,0.8,2.6,.324,1.9,3.3,.570,.532,1.0,1.2,.871,0.4,2.5,2.8,1.1,0.7,0.3,1.0,1.0,7.3,2024
501,378,Royce O'Neale,SF,30,TOT,71,12,24.8,2.7,6.9,.398,2.0,5.4,.373,0.7,1.5,.491,.544,0.3,0.4,.677,0.8,4.0,4.8,2.8,0.7,0.6,1.0,2.2,7.8,2024
502,378,Royce O'Neale,SF,30,BRK,49,6,24.5,2.6,6.6,.388,2.0,5.4,.366,0.6,1.2,.483,.537,0.3,0.4,.682,0.8,3.7,4.5,2.8,0.7,0.6,1.0,2.4,7.4,2024
503,378,Royce O'Neale,SF,30,PHO,22,6,25.4,3.1,7.4,.420,2.0,5.3,.388,1.0,2.1,.500,.559,0.3,0.4,.667,0.8,4.6,5.4,2.9,0.9,0.5,0.8,1.8,8.5,2024
504,379,Chuma Okeke,SF,25,ORL,42,8,9.8,0.9,2.5,.364,0.5,1.9,.291,0.4,0.7,.571,.472,0.0,0.1,.400,0.4,1.4,1.8,0.5,0.2,0.2,0.3,0.5,2.5,2024
505,380,Josh Okogie,SG,25,PHO,56,11,16.9,1.5,3.6,.414,0.5,1.7,.301,1.0,2.0,.509,.483,1.4,1.8,.745,1.3,1.4,2.7,1.1,0.8,0.4,0.6,1.2,4.9,2024
506,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
507,381,Onyeka Okongwu,C,23,ATL,55,8,25.5,4.1,6.6,.611,0.4,1.3,.333,3.6,5.4,.676,.642,1.7,2.1,.793,2.6,4.2,6.8,1.3,0.5,1.1,0.8,2.9,10.2,2024
508,382,Isaac Okoro,SF,23,CLE,65,41,27.4,3.4,7.1,.486,1.2,3.2,.388,2.2,3.9,.565,.573,1.3,1.9,.680,1.0,2.0,3.0,1.9,0.8,0.5,0.8,2.1,9.4,2024
509,383,Kelly Olynyk,C,32,TOT,71,20,21.8,3.4,6.2,.543,0.8,2.0,.388,2.6,4.2,.615,.605,1.8,2.1,.829,1.4,3.7,5.1,4.4,0.9,0.4,1.9,2.9,9.2,2024
510,383,Kelly Olynyk,C,32,UTA,50,8,20.4,2.9,5.2,.562,0.7,1.7,.429,2.2,3.5,.626,.632,1.6,1.9,.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1,2024
511,383,Kelly Olynyk,C,32,TOR,21,12,25.3,4.4,8.6,.517,0.9,2.6,.327,3.6,6.0,.600,.567,2.2,2.7,.807,1.6,3.4,5.0,4.5,1.3,0.7,2.5,3.6,11.9,2024
512,384,Eugene Omoruyi,SF,26,WAS,36,0,7.9,1.6,3.3,.492,0.2,0.8,.214,1.5,2.6,.576,.517,0.8,1.1,.692,0.8,1.2,2.0,0.8,0.6,0.1,0.5,1.5,4.2,2024
513,385,Cedi Osman,SF,28,SAS,70,1,17.4,2.5,5.2,.474,1.1,3.0,.381,1.3,2.2,.600,.584,0.5,0.7,.673,0.3,2.2,2.5,1.7,0.5,0.2,0.6,1.5,6.6,2024
514,386,Kelly Oubre Jr.,SF,28,PHI,60,44,29.7,5.5,12.6,.435,1.4,4.6,.296,4.1,8.0,.515,.489,2.4,3.3,.745,1.4,3.4,4.8,1.4,1.1,0.6,1.2,2.9,14.8,2024
515,387,Chris Paul,PG,38,GSW,49,15,26.4,3.5,7.8,.444,1.3,3.6,.379,2.1,4.3,.498,.530,0.8,1.0,.820,0.4,3.6,4.0,7.0,1.1,0.1,1.2,1.8,9.1,2024
516,388,Cameron Payne,PG,29,TOT,70,6,16.1,2.6,6.0,.435,1.3,3.3,.384,1.4,2.8,.495,.539,0.8,1.0,.866,0.2,1.2,1.4,2.6,0.5,0.1,0.8,1.6,7.3,2024
517,388,Cameron Payne,PG,29,MIL,47,2,14.9,2.1,4.7,.455,1.1,2.8,.397,1.0,1.9,.538,.572,0.8,0.9,.841,0.1,1.2,1.3,2.3,0.5,0.1,0.7,1.6,6.2,2024
518,388,Cameron Payne,PG,29,PHI,23,4,18.6,3.6,8.7,.413,1.6,4.3,.367,2.0,4.5,.456,.502,0.9,1.0,.913,0.5,1.0,1.5,3.0,0.5,0.3,1.1,1.6,9.7,2024
519,389,Gary Payton II,SG,31,GSW,38,0,15.2,2.2,4.1,.539,0.4,1.2,.356,1.8,2.9,.615,.591,0.3,0.5,.611,1.1,1.5,2.6,1.1,0.9,0.4,0.6,1.6,5.1,2024
520,390,Mãozinha Pereira,SF,23,MEM,4,0,6.5,1.3,2.8,.455,0.3,1.0,.250,1.0,1.8,.571,.500,0.0,0.3,.000,1.0,1.3,2.3,0.0,0.5,0.0,0.3,0.5,2.8,2024
521,391,Drew Peterson,PF,24,BOS,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2024
522,392,Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,2024
523,392,Filip Petrušev,C,23,PHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
524,392,Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2024
525,393,Julian Phillips,SF,20,CHI,40,0,8.1,0.8,1.9,.416,0.3,1.0,.316,0.5,1.0,.513,.494,0.3,0.5,.684,0.3,0.6,0.9,0.3,0.2,0.2,0.3,1.0,2.2,2024
526,394,Jalen Pickett,SG,24,DEN,23,0,4.9,0.5,1.3,.387,0.3,1.0,.318,0.2,0.4,.556,.500,0.1,0.2,.750,0.0,0.5,0.5,0.7,0.1,0.0,0.3,0.6,1.5,2024
527,395,Scotty Pippen Jr.,PG,23,MEM,12,7,23.7,3.9,7.8,.500,1.7,3.1,.541,2.3,4.8,.474,.606,2.1,3.1,.676,0.9,2.3,3.2,4.5,1.3,0.5,2.3,2.7,11.6,2024
528,396,Mason Plumlee,C,33,LAC,38,9,14.4,2.0,3.2,.620,0.0,0.0,.000,2.0,3.2,.625,.620,1.6,2.3,.690,1.3,3.7,5.1,1.1,0.3,0.3,0.7,1.4,5.5,2024
529,397,Brandin Podziemski,SG,20,GSW,65,27,26.7,3.6,8.2,.445,1.2,3.3,.368,2.4,4.9,.497,.519,0.7,1.2,.618,1.6,4.1,5.7,3.7,0.9,0.2,1.2,1.7,9.2,2024
530,398,Jakob Poeltl,C,28,TOR,50,50,26.4,5.0,7.6,.656,0.0,0.0,,5.0,7.6,.656,.656,1.2,2.1,.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3.0,11.1,2024
531,399,Aleksej Pokusevski,PF,22,TOT,20,0,12.7,1.4,3.6,.394,0.4,1.7,.242,1.0,1.9,.526,.451,0.7,1.0,.700,0.7,1.9,2.6,1.2,0.6,0.4,0.6,0.7,3.9,2024
532,399,Aleksej Pokusevski,PF,22,OKC,10,0,6.0,0.4,1.6,.250,0.2,1.1,.182,0.2,0.5,.400,.313,0.2,0.4,.500,0.2,0.8,1.0,0.5,0.1,0.1,0.3,0.5,1.2,2024
533,399,Aleksej Pokusevski,PF,22,CHO,10,0,19.4,2.4,5.5,.436,0.6,2.2,.273,1.8,3.3,.545,.491,1.2,1.6,.750,1.1,3.0,4.1,1.9,1.1,0.6,0.9,0.9,6.6,2024
534,400,Jordan Poole,SG,24,WAS,72,60,29.6,6.1,14.8,.411,2.3,7.0,.321,3.8,7.8,.491,.487,2.4,2.8,.871,0.4,2.3,2.6,4.0,1.1,0.3,2.4,3.2,16.9,2024
535,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
536,401,Craig Porter Jr.,PG,23,CLE,48,5,13.3,2.4,4.7,.509,0.3,0.7,.353,2.1,4.0,.536,.535,0.9,1.2,.732,0.4,1.8,2.2,2.4,0.4,0.3,0.9,0.8,5.9,2024
537,402,Jontay Porter,PF,24,TOR,26,5,13.8,1.5,4.0,.385,0.8,2.3,.333,0.8,1.7,.455,.481,0.6,0.7,.833,1.0,2.2,3.2,2.3,0.8,0.8,0.8,1.3,4.4,2024
538,403,Michael Porter Jr.,SF,25,DEN,73,73,31.8,6.5,13.2,.492,2.8,6.8,.403,3.7,6.4,.587,.596,1.1,1.4,.830,1.3,5.6,7.0,1.5,0.5,0.7,1.1,1.8,16.9,2024
539,404,Otto Porter Jr.,SF,30,TOR,15,1,11.6,0.9,2.2,.424,0.5,1.5,.348,0.4,0.7,.600,.545,0.2,0.2,1.000,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6,2024
540,405,Bobby Portis,PF,28,MIL,73,1,24.3,5.5,10.9,.500,1.2,3.0,.394,4.3,7.9,.540,.554,1.3,1.6,.788,1.7,5.6,7.3,1.2,0.8,0.4,1.1,2.4,13.4,2024
541,406,Kristaps Porziņģis,C,28,BOS,51,51,29.8,6.9,13.4,.511,2.0,5.3,.369,4.9,8.1,.604,.584,4.6,5.3,.857,1.7,5.2,6.9,1.9,0.7,1.8,1.6,2.8,20.3,2024
542,407,Micah Potter,PF,25,UTA,11,0,9.7,0.8,1.5,.529,0.5,1.0,.455,0.4,0.5,.667,.676,0.3,0.3,1.000,0.5,1.6,2.1,0.2,0.0,0.1,0.2,0.5,2.4,2024
543,408,Dwight Powell,C,32,DAL,57,8,13.4,1.2,1.7,.687,0.0,0.0,.500,1.2,1.7,.691,.692,1.1,1.5,.726,1.5,1.8,3.3,1.4,0.4,0.3,0.5,1.8,3.5,2024
544,409,Norman Powell,SG,30,LAC,69,1,26.1,5.0,10.1,.497,2.2,5.0,.436,2.8,5.1,.557,.605,1.8,2.2,.824,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,14.0,2024
545,410,Jason Preston,PG,24,UTA,4,0,7.5,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.8,1.0,1.8,1.8,0.3,0.0,0.5,0.3,1.0,2024
546,411,Joshua Primo,SG,21,LAC,2,0,5.0,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.5,2.0,0.0,1.0,2024
547,412,Taurean Prince,PF,29,LAL,70,49,27.8,3.3,7.5,.443,1.9,4.8,.390,1.5,2.7,.534,.567,0.7,0.9,.719,0.2,2.7,2.9,1.6,0.7,0.5,0.9,2.0,9.1,2024
548,413,Payton Pritchard,PG,26,BOS,73,3,21.6,3.2,7.1,.449,1.8,4.5,.386,1.5,2.6,.561,.572,0.5,0.7,.813,0.8,2.3,3.2,3.1,0.4,0.1,0.7,1.3,8.7,2024
549,414,Olivier-Maxence Prosper,PF,21,DAL,34,0,7.7,0.8,2.2,.351,0.2,1.0,.235,0.5,1.2,.450,.405,0.7,1.0,.676,0.5,1.3,1.8,0.6,0.1,0.1,0.1,0.5,2.4,2024
550,415,Trevelin Queen,SG,26,ORL,13,0,12.5,1.1,2.9,.368,0.2,1.3,.176,0.8,1.6,.524,.408,0.7,0.9,.750,0.2,1.2,1.5,1.4,0.5,0.4,0.5,1.2,3.1,2024
551,416,Neemias Queta,C,24,BOS,26,0,11.4,2.0,3.2,.614,0.0,0.0,,2.0,3.2,.614,.614,0.7,0.9,.708,1.8,2.3,4.1,0.5,0.4,0.6,0.4,1.8,4.6,2024
552,417,Immanuel Quickley,PG-SG,24,TOT,62,32,28.9,5.6,13.0,.432,2.5,6.2,.396,3.1,6.7,.465,.527,2.7,3.3,.829,0.2,3.4,3.6,4.6,0.7,0.1,1.4,1.6,16.4,2024
553,417,Immanuel Quickley,SG,24,NYK,30,0,24.0,5.1,11.2,.454,2.1,5.4,.395,2.9,5.8,.509,.549,2.7,3.1,.872,0.2,2.4,2.6,2.5,0.5,0.1,1.0,1.5,15.0,2024
554,417,Immanuel Quickley,PG,24,TOR,32,32,33.5,6.1,14.6,.417,2.8,7.0,.397,3.3,7.6,.434,.512,2.8,3.5,.793,0.3,4.3,4.7,6.6,0.8,0.2,1.7,1.8,17.7,2024
555,418,Lester Quinones,SG,23,GSW,33,0,11.2,1.5,3.7,.390,0.8,2.3,.351,0.6,1.4,.457,.500,0.5,0.8,.667,0.6,1.5,2.1,1.0,0.2,0.1,0.5,1.2,4.3,2024
556,419,Jahmi'us Ramsey,SG,22,TOR,7,1,17.3,2.6,5.9,.439,0.9,3.1,.273,1.7,2.7,.632,.512,0.7,0.9,.833,0.6,2.6,3.1,1.1,1.0,0.0,1.0,1.4,6.7,2024
557,420,Julius Randle,PF,29,NYK,46,46,35.4,8.6,18.2,.472,1.7,5.3,.311,6.9,12.9,.539,.518,5.1,6.6,.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,24.0,2024
558,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
559,421,Duop Reath,C,27,POR,60,20,18.2,3.5,7.3,.476,1.3,3.6,.369,2.2,3.7,.581,.567,1.0,1.4,.735,1.4,2.2,3.6,1.1,0.5,0.6,0.9,2.5,9.3,2024
560,422,Austin Reaves,SG,25,LAL,74,49,32.1,5.6,11.5,.488,1.9,5.1,.369,3.7,6.4,.582,.569,3.0,3.5,.863,0.7,3.7,4.4,5.6,0.8,0.3,2.2,1.8,16.1,2024
561,423,Cam Reddish,SF,24,LAL,45,26,21.3,2.0,5.1,.390,0.8,2.4,.333,1.2,2.7,.442,.469,0.9,1.2,.759,0.6,1.6,2.2,1.0,1.0,0.3,0.7,1.4,5.7,2024
562,424,Paul Reed,C,24,PHI,74,23,19.3,3.1,5.8,.531,0.3,0.7,.377,2.8,5.0,.552,.554,0.8,1.0,.753,2.4,3.5,5.9,1.3,0.8,1.0,0.8,2.4,7.2,2024
563,425,Naz Reid,C,24,MIN,72,7,23.9,4.9,10.2,.480,2.0,4.9,.408,2.9,5.3,.546,.578,1.3,1.7,.760,0.9,4.2,5.1,1.3,0.7,0.9,1.3,2.1,13.1,2024
564,426,Jared Rhoden,SG,24,DET,10,0,9.9,1.3,2.5,.520,0.4,1.1,.364,0.9,1.4,.643,.600,0.2,0.2,1.000,0.2,1.4,1.6,0.7,0.1,0.4,0.6,1.2,3.2,2024
565,427,Nick Richards,C,26,CHO,63,50,26.6,3.9,5.7,.688,0.0,0.0,.000,3.9,5.6,.690,.688,2.0,2.8,.733,2.7,5.7,8.3,0.8,0.4,1.2,1.1,2.6,9.8,2024
566,428,Josh Richardson,SG,30,MIA,43,6,25.7,3.6,8.1,.444,1.5,4.4,.347,2.0,3.7,.561,.539,1.2,1.3,.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9,2024
567,429,Duncan Robinson,SF,29,MIA,63,31,28.5,4.7,10.3,.457,2.9,7.1,.405,1.8,3.2,.575,.597,1.2,1.4,.886,0.2,2.3,2.6,3.0,0.7,0.2,1.4,2.4,13.5,2024
568,430,Jerome Robinson,SG,26,GSW,19,0,3.6,0.5,1.5,.310,0.1,0.8,.133,0.4,0.7,.500,.345,0.3,0.5,.600,0.1,0.2,0.3,0.3,0.0,0.2,0.1,0.3,1.4,2024
569,431,Mitchell Robinson,C,25,NYK,23,21,28.0,2.8,4.8,.582,0.0,0.0,,2.8,4.8,.582,.582,0.7,1.9,.386,5.2,4.8,10.0,0.7,1.4,1.3,1.1,1.9,6.3,2024
570,432,Orlando Robinson,C,23,MIA,32,7,9.3,1.1,2.3,.500,0.3,0.5,.533,0.9,1.8,.491,.556,0.6,0.8,.760,0.9,1.8,2.6,1.1,0.2,0.3,0.6,1.1,3.1,2024
571,433,Jeremiah Robinson-Earl,PF,23,NOP,33,1,9.3,1.3,2.6,.488,0.4,1.0,.353,0.9,1.6,.577,.558,0.4,0.5,.800,0.6,1.5,2.1,0.6,0.3,0.1,0.4,0.7,3.3,2024
572,434,David Roddy,PF,22,TOT,62,13,18.9,2.7,6.6,.404,0.8,2.6,.293,1.9,3.9,.480,.463,0.8,1.1,.691,0.9,2.5,3.4,1.3,0.4,0.2,0.9,1.1,6.9,2024
573,434,David Roddy,PF,22,MEM,48,13,23.2,3.2,8.0,.402,1.0,3.3,.301,2.3,4.8,.470,.462,1.0,1.4,.687,1.1,3.1,4.2,1.6,0.5,0.2,1.1,1.4,8.4,2024
574,434,David Roddy,PF,22,PHO,14,0,4.0,0.7,1.6,.455,0.1,0.6,.125,0.6,1.0,.643,.477,0.1,0.1,1.000,0.1,0.5,0.6,0.2,0.1,0.0,0.2,0.1,1.6,2024
575,435,Ryan Rollins,PG,21,WAS,10,0,6.6,1.3,2.5,.520,0.2,0.3,.667,1.1,2.2,.500,.560,1.3,1.7,.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1,2024
576,436,Derrick Rose,PG,35,MEM,24,7,16.6,3.2,6.9,.461,0.6,1.7,.366,2.5,5.2,.492,.506,1.0,1.1,.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8.0,2024
577,437,Terry Rozier,SG-PG,29,TOT,56,55,33.8,7.3,16.6,.440,2.3,6.6,.343,5.0,9.9,.504,.509,2.9,3.3,.866,0.6,3.6,4.2,5.9,1.0,0.3,1.8,1.7,19.7,2024
578,437,Terry Rozier,SG,29,CHO,30,30,35.5,8.4,18.3,.459,2.8,7.7,.358,5.6,10.6,.533,.535,3.6,4.3,.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2,2024
579,437,Terry Rozier,PG,29,MIA,26,25,31.8,6.0,14.5,.413,1.7,5.3,.319,4.3,9.2,.467,.471,2.0,2.2,.914,0.7,3.8,4.5,5.0,0.8,0.3,1.3,1.7,15.7,2024
580,438,Rayan Rupert,SG,19,POR,31,4,12.0,1.2,3.1,.385,0.5,1.3,.400,0.7,1.8,.375,.469,0.5,0.6,.789,0.5,1.4,1.9,1.3,0.2,0.1,0.6,1.2,3.4,2024
581,439,D'Angelo Russell,PG,27,LAL,68,61,32.4,6.5,14.2,.459,2.9,6.9,.420,3.6,7.3,.496,.561,2.1,2.6,.824,0.4,2.6,3.0,6.4,0.9,0.5,2.0,2.1,18.1,2024
582,440,Matt Ryan,SF,26,NOP,23,1,16.0,2.1,4.8,.441,1.8,3.9,.461,0.3,1.0,.364,.626,0.6,0.6,.929,0.3,1.4,1.7,0.7,0.3,0.0,0.8,1.3,6.6,2024
583,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
584,441,Domantas Sabonis,C,27,SAC,73,73,35.8,7.8,13.0,.603,0.4,1.1,.403,7.4,12.0,.621,.619,3.5,5.0,.706,3.5,10.2,13.6,8.3,0.9,0.6,3.3,3.1,19.6,2024
585,442,Luka Šamanić,PF,24,UTA,36,3,7.0,1.0,2.6,.368,0.3,1.1,.250,0.7,1.5,.455,.421,0.6,0.8,.793,0.3,1.6,1.9,0.3,0.1,0.2,0.4,0.7,2.9,2024
586,443,Jermaine Samuels,SF,25,HOU,11,0,4.8,0.7,1.0,.727,0.0,0.2,.000,0.7,0.8,.889,.727,0.2,0.2,1.000,0.2,0.8,1.0,0.2,0.1,0.1,0.0,0.4,1.6,2024
587,444,Adama Sanogo,PF,21,CHI,4,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.5,0.8,.667,0.8,1.0,1.8,0.0,0.0,0.0,0.3,0.0,2.5,2024
588,445,Gui Santos,PF,21,GSW,20,0,7.9,1.1,2.2,.500,0.5,1.1,.409,0.7,1.1,.591,.602,0.7,0.8,.933,0.8,1.5,2.2,0.6,0.2,0.1,0.4,1.0,3.4,2024
589,446,Dario Šarić,C,29,GSW,62,9,17.4,2.9,6.1,.465,1.2,3.1,.376,1.7,3.0,.556,.560,1.2,1.4,.854,1.1,3.3,4.5,2.3,0.5,0.1,1.2,1.8,8.1,2024
590,447,Olivier Sarr,C,24,OKC,14,0,6.8,0.8,1.4,.579,0.1,0.4,.333,0.6,0.9,.692,.632,0.7,1.1,.667,0.7,1.8,2.5,0.1,0.0,0.5,0.2,1.3,2.4,2024
591,448,Marcus Sasser,PG,23,DET,64,4,17.8,2.8,6.5,.432,1.2,3.0,.379,1.7,3.5,.478,.520,0.8,0.9,.873,0.1,1.6,1.7,3.2,0.6,0.1,1.1,1.5,7.6,2024
592,449,Admiral Schofield,PF,26,ORL,20,0,3.6,0.4,1.1,.364,0.2,0.7,.308,0.2,0.5,.444,.455,0.0,0.1,.000,0.1,0.6,0.7,0.3,0.1,0.0,0.2,0.4,1.0,2024
593,450,Dennis Schröder,PG,30,TOT,74,52,31.1,5.1,11.6,.438,1.8,4.6,.383,3.3,6.9,.475,.515,2.1,2.6,.824,0.4,2.4,2.9,6.1,0.8,0.2,1.9,2.0,14.1,2024
594,450,Dennis Schröder,PG,30,TOR,51,33,30.6,4.8,11.0,.442,1.5,4.3,.350,3.3,6.6,.501,.511,2.5,2.9,.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7,2024
595,450,Dennis Schröder,PG,30,BRK,23,19,32.2,5.6,12.9,.431,2.3,5.3,.443,3.2,7.6,.423,.522,1.4,1.9,.727,0.5,2.6,3.1,5.9,0.6,0.3,2.7,1.9,14.9,2024
596,451,Dereon Seabron,SG,23,NOP,6,0,9.2,0.7,2.2,.308,0.2,0.3,.500,0.5,1.8,.273,.346,0.8,1.0,.833,0.2,1.0,1.2,0.8,0.3,0.2,0.0,0.7,2.3,2024
597,452,Alperen Sengun,C,21,HOU,63,63,32.5,8.4,15.6,.537,0.5,1.8,.297,7.8,13.8,.567,.553,3.9,5.6,.693,2.9,6.4,9.3,5.0,1.2,0.7,2.6,3.3,21.1,2024
598,453,Brice Sensabaugh,SF,20,UTA,24,7,16.0,2.1,5.6,.370,0.6,3.0,.211,1.5,2.7,.547,.426,0.8,0.9,.864,0.4,2.4,2.8,1.6,0.3,0.1,1.4,1.1,5.6,2024
599,454,Collin Sexton,SG,25,UTA,74,47,26.6,6.6,13.3,.493,1.7,4.2,.398,4.9,9.1,.537,.556,4.0,4.6,.863,0.9,1.7,2.6,4.9,0.8,0.2,2.0,2.0,18.8,2024
600,455,Landry Shamet,SG,26,WAS,46,5,15.8,2.6,6.0,.431,1.2,3.4,.338,1.4,2.5,.556,.527,0.8,1.0,.826,0.3,1.0,1.3,1.2,0.5,0.2,0.7,1.7,7.1,2024
601,456,Day'Ron Sharpe,C,22,BRK,56,1,15.3,2.8,4.8,.583,0.1,0.2,.308,2.8,4.6,.597,.590,1.3,2.2,.610,2.6,3.8,6.4,1.4,0.4,0.7,1.1,2.3,7.1,2024
602,457,Shaedon Sharpe,SG,20,POR,32,25,33.1,5.5,13.6,.406,1.9,5.6,.333,3.6,7.9,.457,.475,3.1,3.7,.824,1.3,3.7,5.0,2.9,0.9,0.4,2.3,2.8,15.9,2024
603,458,Ben Sheppard,SG,22,IND,50,1,13.3,1.5,3.7,.413,0.8,2.5,.323,0.7,1.2,.600,.522,0.4,0.5,.870,0.2,1.3,1.5,0.9,0.5,0.0,0.2,1.5,4.2,2024
604,459,Pascal Siakam,PF,29,TOT,73,73,33.6,8.5,15.9,.535,1.1,3.2,.341,7.4,12.7,.583,.569,3.7,5.1,.732,1.7,5.4,7.1,4.5,0.8,0.3,1.8,2.3,21.8,2024
605,459,Pascal Siakam,PF,29,TOR,39,39,34.7,8.3,16.0,.522,1.2,3.7,.317,7.2,12.3,.584,.559,4.3,5.7,.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,2024
606,459,Pascal Siakam,PF,29,IND,34,34,32.3,8.7,15.8,.550,1.0,2.6,.379,7.7,13.3,.583,.581,3.1,4.4,.693,2.0,5.9,7.9,4.1,0.8,0.4,1.4,2.4,21.4,2024
607,460,Ben Simmons,PG,27,BRK,15,12,23.9,2.9,4.9,.581,0.0,0.0,,2.9,4.9,.581,.581,0.4,1.0,.400,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1,2024
608,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
609,461,Kobi Simmons,PG,26,TOR,2,0,21.0,2.0,6.0,.333,0.5,2.5,.200,1.5,3.5,.429,.375,0.0,0.0,,0.5,1.0,1.5,3.0,2.5,0.5,0.5,2.0,4.5,2024
610,462,Anfernee Simons,SG,24,POR,46,46,34.4,7.8,18.2,.430,3.4,8.8,.385,4.4,9.4,.472,.523,3.5,3.9,.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6,2024
